Resume,Price,Location,Bedrooms,Bathrooms,Area,Link,Contact,Listing Time
Huge Layout | High Rise View | Prime Location,"90,000 AED/year","O2 Tower, Jumeirah Village Circle, Dubai",1,2,"1,024 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-village-circle-o2-tower-13263769.html,tel:+971501268441,Listed 1 month ago
EXCLUSIVE 3BEDROOM WTH FULL SEAVIEW &amp; FACILITIES,"160,000 AED/year","Al Reef Tower, Corniche Road, Abu Dhabi",3,5,"2,150 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-abu-dhabi-corniche-road-al-reef-tower-13432858.html,tel:+971586482747,Listed 20 days ago
One-bedroom apartment for annual rent Al Mowahat 2,"22,000 AED/year","Al Mowaihat 2, Al Mowaihat, Ajman",1,1,750 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-ajman-al-mowaihat-al-mowaihat-2-13541689.html,tel:+971565032663,Listed 7 days ago
MODERN LIVING | SPACIOUS LAYOUT | HOT OFFER,"109,999 AED/year","Binghatti Crest, Jumeirah Village Circle, Dubai",2,2,961 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-village-circle-binghatti-crest-13577950.html,tel:+971525757105,Listed 3 days ago
Great Views | Convenient Access to Amenities | Great Community,"140,000 AED/year","Park Heights 2, Park Heights, Dubai Hills Estate, Dubai",2,2,956 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-hills-estate-park-heights-park-heights-2-13194503.html,tel:+971507281779,Listed 1 month ago
1 BHK I BIG SPACE I GOOD LOCATION,"70,000 AED/year","Al Fahidi Building, Al Souk Al Kabeer, Bur Dubai, Dubai",1,1,"1,255 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-bur-dubai-al-souk-al-kabeer-al-fahidi-building-13602513.html,tel:+971562553688,Listed 7 hours ago
Superb Unit | Vibrant Community | Great Amenities,"183,000 AED/year","Noya Viva, Noya, Yas Island, Abu Dhabi",3,4,"1,752 sqft",https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-abu-dhabi-yas-island-noya-noya-viva-13478804.html,tel:+971565339016,Listed 15 days ago
Special view near the Cornich near the bus station,"40,000 AED/year","Geepas Building 5, Al Bustan, Ajman",3,2,"2,100 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-ajman-al-bustan-geepas-building-5-13569688.html,tel:+971501812068,Listed 3 days ago
Vacant  | Hot Deal | Prime Location,"159,999 AED/year","Contemporary Style, Al Reef Villas, Al Reef, Abu Dhabi",5,6,"2,938 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-abu-dhabi-al-reef-al-reef-villas-contemporary-style-13278510.html,tel:+971547248886,Listed 1 month ago
Unfurnished | 4 Cheques | Spacious 2BR,"155,000 AED/year","SOL Avenue, Business Bay, Dubai",2,3,"1,375 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-business-bay-sol-avenue-13395176.html,tel:+971565034705,Listed 25 days ago
Fully Furnished | Upgraded | Spacious 1BHK,"75,000 AED/year","Florence 1, Tuscan Residences, Jumeirah Village Circle, Dubai",1,2,"1,002 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-village-circle-tuscan-residences-florence-1-13269079.html,tel:+971589835188,Listed 1 month ago
New Property / Flexible Cheques / Street View,"58,000 AED/year","Prime Residency 3, Al Furjan, Dubai",studio,1,404 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-al-furjan-prime-residency-3-13540323.html,tel:+971585663031,Listed 8 days ago
within compound | 2 Majlis |Prime location,"170,000 AED/year","Shakhbout City, Abu Dhabi",5,7+,"15,000 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-abu-dhabi-shakhbout-city-13284829.html,tel:+971544487776,Listed 1 month ago
Type 3M  3 Bedrooms Plus study Close to Pool,"230,000 AED/year","Springs 11, The Springs, Dubai",3,3,"2,950 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-the-springs-springs-11-10826920.html,tel:+971565067953,Listed more than 6 months ago
Luxury Brand New Fully Furnished Studio|M3200|KCA|,"35,000 AED/year","Khalifa City A Villas, Khalifa City A, Khalifa City, Abu Dhabi",studio,1,650 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-abu-dhabi-khalifa-city-khalifa-city-a-khalifa-city-a-villas-13445255.html,tel:+97142815182,Listed 18 days ago
For Rent♦ 3 BR Townhouse ♦ Private Garden,"210,000 AED/year","Bloom Gardens Villas, Bloom Gardens, Al Salam Street, Abu Dhabi",3,4,"3,760 sqft",https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-abu-dhabi-al-salam-street-bloom-gardens-bloom-gardens-villas-13409204.html,tel:+971565079454,Listed 23 days ago
Prime Location | Fully Furnished | Sea View,"235,000 AED/year","Le Pont, La Mer, Jumeirah, Dubai",2,3,"1,210 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-la-mer-le-pont-13349533.html,tel:+971565206571,Listed 1 month ago
Partial Creek View | Furnished | Ready to Move in,"150,000 AED/year","Creek Horizon Tower 2, Creek Horizon, Dubai Creek Harbour (The Lagoons), Dubai",2,2,"1,211 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-creek-harbour-the-lagoons-creek-horizon-creek-horizon-tower-2-13583168.html,tel:+971565118208,Listed 2 days ago
For Annual Rent Beautiful Apartment  Al Nuaimiya2,"36,000 AED/year","Al Naemiya Tower 2, Al Naemiya Towers, Al Nuaimiya, Ajman",2,2,"1,150 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-ajman-al-nuaimiya-al-naemiya-towers-al-naemiya-tower-2-13590340.html,tel:+971508075372,Listed 1 day ago
Marina View | Balcony | Maids | Set For Move In,"165,000 AED/year","Tala Tower, Marina Square, Al Reem Island, Abu Dhabi",3,4,"2,250 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-abu-dhabi-al-reem-island-marina-square-tala-tower-13575214.html,tel:+971506097303,Listed 3 days ago
Studio for rent in Ajman Industrial,"16,000 AED/year","Ajman Industrial 1, Ajman Industrial Area, Ajman",studio,1,900 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-ajman-ajman-industrial-area-ajman-industrial-1-13536903.html,tel:+971582069890,Listed 8 days ago
"Deluxe Finish | First Tenant | Free Parking, Gym &amp; Pool","80,000 AED/year","Sharjah Gate, Al Nahda, Sharjah",3,4,"1,990 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-sharjah-al-nahda-sharjah-gate-13434141.html,tel:+971509745912,Listed 20 days ago
JUST MOVE IN  - 3 BR + MAID FURNISHED VILLA,"165,000 AED/year","Malibu, Mina Al Arab, Ras Al Khaimah",3,4,"3,250 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-ras-al-khaimah-mina-al-arab-malibu-13405363.html,tel:+971565039640,Listed 24 days ago
Dubai Skyline View | Bills Inc. | Exclusive,"640,000 AED/year","Boulevard Point, Downtown Dubai, Dubai",3,4,"1,833 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-downtown-dubai-boulevard-point-13317248.html,tel:+971561726761,Listed 1 month ago
For rent 4 rooms from the best villas in Ajman,"125,000 AED/year","Al Yasmeen 1, Al Yasmeen, Ajman",4,6,"3,200 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-ajman-al-yasmeen-al-yasmeen-1-13358220.html,tel:+971566034595,Listed 1 month ago
1 bhk for annual rentclose to the Corniche,"26,000 AED/year","Al Rashidiya, Ajman Downtown, Ajman",1,2,"1,300 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-ajman-ajman-downtown-al-rashidiya-13479628.html,tel:+971545832141,Listed 15 days ago
Burj Khalifa View I Furnished I Vacant,"62,000 AED/year","Al Waleed Garden 2, Al Waleed Garden, Al Jaddaf, Dubai",studio,1,417 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-al-jaddaf-al-waleed-garden-al-waleed-garden-2-13569446.html,tel:+971502635283,Listed 4 days ago
AMAZING 2BHK | BALCONY | GYM | POOL,"74,999 AED/year","Al Mamoura, Muroor Area, Abu Dhabi",2,3,"1,310 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-abu-dhabi-muroor-area-al-mamoura-13532518.html,tel:+971529575360,Listed 8 days ago
| Specious 3bhk | 2 Halls | Maidroom | Parking Free,"59,900 AED/year","Manazil Tower 2, Al Taawun Street, Al Taawun, Sharjah",3,4,"2,200 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-sharjah-al-taawun-al-taawun-street-manazil-tower-2-13220550.html,tel:+971506391655,Listed 1 month ago
Exquisite 3 Bedroom with Parking | Prime Location,"160,000 AED/year","Al Raha Beach, Abu Dhabi",3,4,"1,900 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-abu-dhabi-al-raha-beach-13596941.html,tel:+971502916068,Listed 1 day ago
Exclusive Living | High Floor | City View,"165,000 AED/year","Vida Residence Downtown, Downtown Dubai, Dubai",1,2,774 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-downtown-dubai-vida-residence-downtown-13229703.html,tel:+971502606154,Listed 1 month ago
Spacious Villa | Big Garden | Driver’s Room,"240,000 AED/year","Al Saada Street, Al Mushrif, Abu Dhabi",7,7+,"8,900 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-abu-dhabi-al-mushrif-al-saada-street-13555870.html,tel:+971544487776,Listed 6 days ago
2 bedroom apartment for rent in Rawda area,"30,000 AED/year","Al Rawda 3 Villas, Al Rawda 3, Al Rawda, Ajman",2,2,"1,400 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-ajman-al-rawda-al-rawda-3-al-rawda-3-villas-13271598.html,tel:+971506195923,Listed 1 month ago
Direct Park and Pool | 3BR+Maid | Premium Location,"179,999 AED/year","La Rosa 3, Villanova, Dubai Land, Dubai",3,4,"1,883 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-dubai-land-villanova-la-rosa-3-13339033.html,tel:+971525330827,Listed 1 month ago
Brand New villa | Luxurious Finishing | Big yard,"350,000 AED/year","Madinat Al Riyad, Abu Dhabi",7+,7+,"15,000 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-abu-dhabi-madinat-al-riyad-13233211.html,tel:+971544487776,Listed 1 month ago
Villa in Rawdah 3.5 rooms a living room and a hall,"120,000 AED/year","Al Rawda 3 Villas, Al Rawda 3, Al Rawda, Ajman",5,7,"4,000 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-ajman-al-rawda-al-rawda-3-al-rawda-3-villas-13252814.html,tel:+971565032698,Listed 1 month ago
Vacant I Spacious I Upgraded I Well Maintained,"90,000 AED/year","Al Thayyal 2, Al Thayyal, Greens, Dubai",1,1,816 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-greens-al-thayyal-al-thayyal-2-13461706.html,tel:+97148372722,Listed 17 days ago
Spacious 4bhk villa  apartment on  Prime Location,"165,000 AED/year","Mushrif Gardens, Al Mushrif, Abu Dhabi",4,7,"4,258 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-abu-dhabi-al-mushrif-mushrif-gardens-13583112.html,tel:+971585994689,Listed 2 days ago
"Nice Single Row 3M, 3 Bedrooms+Maid, Mira 1","170,000 AED/year","Mira 1, Mira, Reem, Dubai",3,4,"2,180 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-reem-mira-mira-1-13463676.html,tel:+971565067951,Listed 16 days ago
Last Unit  Studio | Prime Location  | Gym Free,"24,000 AED/year","Al Khan 5 building, Al Khan, Sharjah",studio,1,400 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-sharjah-al-khan-al-khan-5-building-13466881.html,tel:+971565051146,Listed 16 days ago
Burj Khalifa View | Furnished | Maids room,"340,000 AED/year","Downtown Views, Zabeel 2, Zabeel, Dubai",3,4,"1,763 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-zabeel-zabeel-2-downtown-views-13314777.html,tel:+971505957341,Listed 1 month ago
"Apartment on Sheikh Ammar Street, one bedroom,","35,000 AED/year","Al Mowaihat 1, Al Mowaihat, Ajman",1,2,"1,000 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-ajman-al-mowaihat-al-mowaihat-1-13214158.html,tel:+971565032698,Listed 1 month ago
Luxurious Studio Apartment Fully furnished,"115,000 AED/year","UPSIDE Living, Business Bay, Dubai",studio,1,476 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-business-bay-upside-living-12843117.html,tel:+97142472801,Listed 3 months ago
3BR+Maids | Unfurnished | Sea &amp; Mangrove View,"169,999 AED/year","Sun Tower, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",3,4,"1,732 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-abu-dhabi-al-reem-island-shams-abu-dhabi-sun-tower-13550986.html,tel:+971565154691,Listed 6 days ago
4 Bed | Type 2E | Single Row Townhouse,"360,000 AED/year","Maple 1, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai",4,4,"3,523 sqft",https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-dubai-dubai-hills-estate-maple-at-dubai-hills-estate-maple-1-12800997.html,tel:+971565055042,Listed 3 months ago
Luxurious and beautiful villa for rent,"180,000 AED/year","Mohammed Villas 6, Mohamed Bin Zayed City, Abu Dhabi",7,7+,"6,500 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-abu-dhabi-mohamed-bin-zayed-city-mohammed-villas-6-13322029.html,tel:+971588428271,Listed 1 month ago
3-Bedroom Apartment for Employee  Accommodation,"56,000 AED/year","Sheikh Jaber Al Sabah Street, Al Naimiya, Al Nuaimiya, Ajman",3,3,"1,300 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-ajman-al-nuaimiya-al-naimiya-sheikh-jaber-al-sabah-street-13270537.html,tel:+971565220860,Listed 1 month ago
2 bedrooms &amp;hall -rent- vital location -Rawda,"30,000 AED/year","Al Rawda 3 Villas, Al Rawda 3, Al Rawda, Ajman",2,2,"1,400 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-ajman-al-rawda-al-rawda-3-al-rawda-3-villas-13241653.html,tel:+971506195923,Listed 1 month ago
"For  luxury a villa for rent in  Al Yasmeen, Ajman","129,999 AED/year","Al Yasmeen 1, Al Yasmeen, Ajman",4,6,"3,014 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-ajman-al-yasmeen-al-yasmeen-1-13032420.html,tel:+971545988133,Listed 2 months ago
"For luxury  a villa for  rent in Al zahih , Ajman","89,999 AED/year","Al Zaheya Gardens, Al Zahya, Ajman",5,7,"3,000 sqft",https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-ajman-al-zahya-al-zaheya-gardens-13016104.html,tel:+971545988133,Listed 2 months ago
Hot Deal | Double Row Unit | Vacant Now,"330,000 AED/year","West Yas, Yas Island, Abu Dhabi",5,6,"5,823 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-abu-dhabi-yas-island-west-yas-13500045.html,tel:+971565065455,Listed 12 days ago
Luxurious 3 BHK Apartment | Parking | Maid&#39;s Room,"165,000 AED/year","Sheikha Salama Tower, Khalidiya Street, Al Khalidiya, Abu Dhabi",3,5,"2,740 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-abu-dhabi-al-khalidiya-khalidiya-street-sheikha-salama-tower-13539321.html,tel:+971565490920,Listed 8 days ago
BRAND NEW 1BHK | BIG HALL OPEN VIEW | AL MAMSHA &amp;/,"48,900 AED/year","Souks Residential, Al Mamsha, Muwaileh, Sharjah",1,1,885 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-sharjah-muwaileh-al-mamsha-souks-residential-13085995.html,tel:+971502601807,Listed 2 months ago
One bedroom apartment with balcony for rent,"25,000 AED/year","Al Rashidiya Towers, Al Rashidiya, Ajman Downtown, Ajman",1,1,"1,100 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-ajman-ajman-downtown-al-rashidiya-al-rashidiya-towers-13229599.html,tel:+971545832141,Listed 1 month ago
Furnished | 2BHK Stunning | Premium Location,"180,000 AED/year","Noya Viva, Noya, Yas Island, Abu Dhabi",2,3,"1,816 sqft",https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-abu-dhabi-yas-island-noya-noya-viva-13394876.html,tel:+971569889642,Listed 25 days ago
"3 rooms and a hall for annual rent in Mishrif,","62,000 AED/year","Conquer Tower, Sheikh Maktoum Bin Rashid Street, Ajman",3,3,"2,100 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-ajman-sheikh-maktoum-bin-rashid-street-conquer-tower-13588071.html,tel:+971501812965,Listed 2 days ago
Lavish Ready To Move|1BHK BALCONY &amp; P.V AL MAMSHA,"49,988 AED/year","Souks Retail, Al Mamsha, Muwaileh, Sharjah",1,1,785 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-sharjah-muwaileh-al-mamsha-souks-retail-12820035.html,tel:+971502601807,Listed 3 months ago
Studio - special price for rent in Hamidiya,"18,000 AED/year","Ajman 44 building, Al Hamidiya 1, Al Hamidiya, Ajman",studio,1,400 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-ajman-al-hamidiya-al-hamidiya-1-ajman-44-building-13414242.html,tel:+971564189681,Listed 23 days ago
Studio in Al Naeemiyah 2 for annual rent,"15,000 AED/year","Al Naemiya Tower 2, Al Naemiya Towers, Al Nuaimiya, Ajman",studio,1,700 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-ajman-al-nuaimiya-al-naemiya-towers-al-naemiya-tower-2-13162944.html,tel:+971565032698,Listed 1 month ago
No Deposit Less Commission | Brand New 2 Bedroom Flat | Covered Parking Free,"74,999 AED/year","Al Zahia 2, Al Zahia, Muwaileh Commercial, Sharjah",2,3,"1,221 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-sharjah-muwaileh-commercial-al-zahia-al-zahia-2-13002005.html,tel:+971565157685,Listed 2 months ago
1-Bedroom Apartment with a Living Room i,"31,000 AED/year","Al Rashidiya Towers, Ajman Downtown, Ajman",1,2,"1,000 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-ajman-ajman-downtown-al-rashidiya-towers-13148450.html,tel:+971565032698,Listed 1 month ago
Fully Furnished | Pool View | Bright and Spacious,"70,000 AED/year","Hanover Square, Jumeirah Village Circle, Dubai",1,2,673 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-village-circle-hanover-square-13292692.html,tel:+971506395017,Listed 1 month ago
Shuwihen two bedroom and a hall,"28,000 AED/year","Al Ateek Tower 1, Al Shuwaiheen, Sharjah",2,2,"2,000 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-sharjah-al-shuwaiheen-al-ateek-tower-1-13526855.html,tel:+971582069890,Listed 9 days ago
DIRECT MALL ACCESS | VACANT | BILLS INCL,"175,000 AED/year","The Address Dubai Mall, Downtown Dubai, Dubai",1,1,767 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-downtown-dubai-the-address-dubai-mall-12321977.html,tel:+971502606154,Listed 5 months ago
Brand new Pool view in before luxury living,"79,999 AED/year","Binghatti Lavender, Jumeirah Village Circle, Dubai",1,2,761 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-village-circle-binghatti-lavender-13155605.html,tel:+971545867056,Listed 1 month ago
"Two rooms and a hall, lake view, gym, swimming po","55,000 AED/year","Al Shahid Tower, Al Qasba, Sharjah",2,3,"1,800 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-sharjah-al-qasba-al-shahid-tower-13319997.html,tel:+971509745912,Listed 1 month ago
High Floor | Near Dubai Mall | Panoramic View,"200,000 AED/year","Burj Lake Hotel - The Address DownTown, Downtown Dubai, Dubai",1,2,926 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-downtown-dubai-burj-lake-hotel-the-address-downtown-12624121.html,tel:+971502606154,Listed 4 months ago
One bedroom apartment in Al Naimiyah 2 for rent,"24,000 AED/year","Al Naemiya Tower 1, Al Naemiya Towers, Al Nuaimiya, Ajman",1,1,750 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-ajman-al-nuaimiya-al-naemiya-towers-al-naemiya-tower-1-13126266.html,tel:+971565032698,Listed 2 months ago
Luxury 2BR | Palm Jumeirah | Beach Access,"210,000 AED/year","Al Tamr, Shoreline Apartments, Palm Jumeirah, Dubai",2,3,"1,550 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-palm-jumeirah-shoreline-apartments-al-tamr-13605175.html,tel:+971545825288,Listed 3 hours ago
For rent in Ajman for families only,"45,000 AED/year","Al Mowaihat 3, Al Mowaihat, Ajman",2,3,"1,350 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-ajman-al-mowaihat-al-mowaihat-3-13555295.html,tel:+971509776434,Listed 6 days ago
Furnished Unit | Pool View | Ready To Move In,"290,000 AED/year","Building 19, City Walk, Dubai",2,3,"1,672 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-city-walk-building-19-13535590.html,tel:+971566900394,Listed 8 days ago
"Fully Furnished 2BR Apt| Marina, Sheikh Zayed View","130,000 AED/year","Marina Pinnacle, Dubai Marina, Dubai",2,2,"1,219 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-pinnacle-13094273.html,tel:+971585541174,Listed 2 months ago
"Room &amp;hall - rent- Rawdah,excellent finishing","30,000 AED/year","Al Rawda 2 Villas, Al Rawda 2, Al Rawda, Ajman",1,2,"1,000 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-ajman-al-rawda-al-rawda-2-al-rawda-2-villas-13149374.html,tel:+971506195923,Listed 1 month ago
Brand New 4BR | Double Row | Perfect Family Home,"270,000 AED/year","Noya Luma, Noya, Yas Island, Abu Dhabi",4,5,"3,743 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-abu-dhabi-yas-island-noya-noya-luma-12845337.html,tel:+971501269046,Listed 3 months ago
Best 2BHK Apartment with Swimming Pool View,"74,999 AED/year","Maryam Island, Sharjah",2,2,"1,229 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-sharjah-maryam-island-12761193.html,tel:+971501126377,Listed 3 months ago
04-BR VILLA WITH BACKYARD AT PRIME LOCATION,"159,999 AED/year","Al Musalla Area, Al Karamah, Abu Dhabi",4,6,"4,800 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-abu-dhabi-al-karamah-al-musalla-area-13583366.html,tel:+971585497030,Listed 2 days ago
Ready to Move | Spacious Studio | Near Amenities,"44,000 AED/year","Building 38 to Building 107, Mediterranean Cluster, Discovery Gardens, Dubai",studio,1,484 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-discovery-gardens-mediterranean-cluster-building-38-to-building-107-12914580.html,tel:+971504938605,Listed 3 months ago
"2rooms&amp;hall, 2nd tenant, central ac,in Al-Jarf","36,000 AED/year","Al Jurf 3, Al Jurf, Ajman Downtown, Ajman",2,3,"1,400 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-ajman-ajman-downtown-al-jurf-al-jurf-3-13134774.html,tel:+971506195923,Listed 2 months ago
High Floor | Ready to Move In | Spacious and Bright,"65,000 AED/year","Al Rabia Tower, Majan, Dubai Land, Dubai",1,2,831 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-land-al-rabia-tower-13548721.html,tel:+971505861281,Listed 7 days ago
Fully Furnished | DEWA Free | Prime Location,"180,000 AED/year","Nassima Tower, Sheikh Zayed Road, Dubai",2,3,"1,668 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-sheikh-zayed-road-nassima-tower-13509363.html,tel:+971565209554,Listed 11 days ago
Brand New I Mid Floor I Furnished,"170,000 AED/year","Nobles Tower, Business Bay, Dubai",2,3,"1,319 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-business-bay-nobles-tower-13522063.html,tel:+97148372788,Listed 10 days ago
Hot Offer 1BR with 2 Washroom+balcony 53k,"53,000 AED/year","Areej Apartments, Aljada, Sharjah",1,2,900 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-sharjah-aljada-areej-apartments-13407612.html,tel:+971549908823,Listed 23 days ago
"Annual Rental Advertisement in Ajman - Al Jurf 2,","28,000 AED/year","Al Jurf 2, Al Jurf, Ajman Downtown, Ajman",1,2,"1,100 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-ajman-ajman-downtown-al-jurf-al-jurf-2-13522968.html,tel:+971507449685,Listed 9 days ago
✴️ High Floor | Sea View | Spacious,"100,000 AED/year","Princess Tower, Dubai Marina, Dubai",1,2,922 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-princess-tower-13598628.html,tel:+971565060338,Listed 1 day ago
Fully Upgraded | Private pool | Corner unit,"325,000 AED/year","Springs 14, The Springs, Dubai",3,3,"4,077 sqft",https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-dubai-the-springs-springs-14-13364725.html,tel:+97144090911,Listed 29 days ago
"2rooms &amp;hall - balcony for rent, central AC","34,000 AED/year","Al Rawda 2 Villas, Al Rawda 2, Al Rawda, Ajman",2,2,"1,300 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-ajman-al-rawda-al-rawda-2-al-rawda-2-villas-13038152.html,tel:+971506195923,Listed 2 months ago
Separate 4Bedroom Villa | Yard | Huge | Majlis |,"115,000 AED/year","Mohamed Bin Zayed Centre, Mohamed Bin Zayed City, Abu Dhabi",4,5,"3,500 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-abu-dhabi-mohamed-bin-zayed-city-mohamed-bin-zayed-centre-13508743.html,tel:+971505998470,Listed 11 days ago
Lavish 1 BHK |With Split  AC |family building |,"26,000 AED/year","Muwailih Building, Muwaileh, Sharjah",1,1,850 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-sharjah-muwaileh-muwailih-building-13187913.html,tel:+971565202816,Listed 1 month ago
Studio for Annual Rent in Al Muwaileh 3 Ajman,"18,000 AED/year","Al Mowaihat 3, Al Mowaihat, Ajman",studio,1,500 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-ajman-al-mowaihat-al-mowaihat-3-13550299.html,tel:+971565034057,Listed 6 days ago
Investment villa  | Staff accommodation  | Nursery,"470,000 AED/year","Shakhbout City, Abu Dhabi",6,7+,"17,500 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-abu-dhabi-shakhbout-city-13337056.html,tel:+971544487776,Listed 1 month ago
Unfurnished | Ready to Move In | Close to Metro,"164,999 AED/year","Cascades Tower, Dubai Marina, Dubai",2,3,"1,717 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cascades-tower-13495874.html,tel:+971565224897,Listed 13 days ago
